district_name,bl,bw,ml,mz,pd,wt,year,total_yield,mz_change,pd_change,wt_change,mz_ma3,mz_std3,pd_ma3,pd_std3,wt_ma3,wt_std3,mz_lag1,pd_lag1,wt_lag1,avg_temp,avg_max_temp,temp_range_stddev,annual_precip,avg_humidity,avg_wind,highheat_days,precip_zscore,avg_temp_lag1,annual_precip_lag1,precip_zscore_lag1,highheat_days_lag1,temp_range_stddev_lag1,CENTROID_LAT,CENTROID_LON
KATHMANDU,1000.0,,1150.0,2242.0,4600.0,1543.0,1994,8385.0,24.0,632.0,-121.0,2220.3333333333335,20.599352740640906,4206.0,343.6684448709246,1772.6666666666667,299.18611821629247,2218.0,3968.0,1664.0,17.448,23.871616438356163,2.7328071737544293,431.01,45.77487671232876,2.317835616438356,0,-1.3547673152343656,17.02421917808219,542.53,-0.9938503139460668,0.0,2.7253077673199573,27.72794323418278,85.34954914085557
KATHMANDU,1000.0,,1410.0,2200.0,4103.0,1800.0,1995,8103.0,-42.0,-497.0,257.0,2220.0,21.07130750570582,4223.666666666667,332.83078783870496,1669.0,128.57293649909388,2242.0,4600.0,1543.0,17.083835616438357,23.16969863013699,3.1043234961112196,600.38,49.270356164383564,2.2661643835616436,0,-0.8066278558710301,17.448,431.01,-1.3547673152343656,0.0,2.7328071737544293,27.72794323418278,85.34954914085557
KATHMANDU,1000.0,,1394.0,2598.0,4705.0,1787.0,1996,9090.0,398.0,602.0,-13.0,2346.6666666666665,218.6717479084424,4469.333333333333,321.5685515303573,1710.0,144.77223490711205,2200.0,4103.0,1800.0,17.02344262295082,23.08950819672131,3.1276595043016453,618.49,50.630765027322404,2.2113387978142076,0,-0.7480176792809019,17.083835616438357,600.38,-0.8066278558710301,0.0,3.1043234961112196,27.72794323418278,85.34954914085557
KATHMANDU,1100.0,,1394.0,2200.0,4800.0,1892.0,1997,8892.0,-398.0,95.0,105.0,2332.6666666666665,229.78540713747114,4536.0,377.98544945539714,1826.3333333333333,57.23926391327343,2598.0,4705.0,1787.0,16.59,22.7466301369863,2.7801663891370003,467.35,48.32961643835617,2.253753424657534,0,-1.237158600861905,17.02344262295082,618.49,-0.7480176792809019,0.0,3.1276595043016453,27.72794323418278,85.34954914085557
KATHMANDU,600.0,,1394.0,2300.0,4909.0,1661.0,1998,8870.0,100.0,109.0,-231.0,2366.0,207.04588863341397,4804.666666666667,102.0800339602756,1780.0,115.6589814930083,2200.0,4800.0,1892.0,17.412739726027397,23.459205479452056,2.906728732670963,601.81,51.82945205479452,2.2041917808219176,0,-0.8019998849972653,16.59,467.35,-1.237158600861905,0.0,2.7801663891370003,27.72794323418278,85.34954914085557
KATHMANDU,600.0,,1006.0,1714.0,4801.0,1811.0,1999,8326.0,-586.0,-108.0,150.0,2071.3333333333335,313.4730185093024,4836.666666666667,62.64449962551303,1788.0,117.20494870098291,2300.0,4909.0,1661.0,17.7746301369863,24.04613698630137,2.9995757577997706,448.91,46.76252054794521,2.267342465753425,0,-1.2968367707305946,17.412739726027397,601.81,-0.8019998849972653,0.0,2.906728732670963,27.72794323418278,85.34954914085557
KATHMANDU,1100.0,,1000.0,2700.0,5281.0,1805.0,2000,9786.0,986.0,480.0,-6.0,2238.0,495.9153153513209,4997.0,251.80945176858842,1759.0,84.92349498224878,1714.0,4801.0,1811.0,16.843060109289617,22.740901639344262,3.0289128363626143,666.88,51.82811475409836,2.1946994535519124,0,-0.591411028524618,17.7746301369863,448.91,-1.2968367707305946,0.0,2.9995757577997706,27.72794323418278,85.34954914085557
KATHMANDU,1100.0,,1008.0,2800.0,5002.0,1805.0,2001,9607.0,100.0,-279.0,0.0,2404.6666666666665,600.2210703843489,5028.0,241.05393587327495,1807.0,3.464101615142743,2700.0,5281.0,1805.0,17.27219178082192,23.297780821917808,2.7788137118273863,584.25,51.291479452054794,2.1824931506849317,0,-0.8588300727897914,16.843060109289617,666.88,-0.591411028524618,0.0,3.0289128363626143,27.72794323418278,85.34954914085557
KATHMANDU,1100.0,,1000.0,3268.0,5700.0,1805.0,2002,10773.0,468.0,698.0,0.0,2922.6666666666665,303.21829320364816,5327.666666666667,351.3322264372132,1805.0,0.0,2800.0,5002.0,1805.0,17.33854794520548,23.52791780821918,2.225356419822028,477.38,50.84010958904109,2.2016438356164385,0,-1.2046980778801832,17.27219178082192,584.25,-0.8588300727897914,0.0,2.7788137118273863,27.72794323418278,85.34954914085557
KATHMANDU,800.0,,1000.0,3268.0,5700.0,1958.0,2003,10926.0,0.0,0.0,153.0,3112.0,270.19992598074526,5467.333333333333,402.990487894353,1856.0,88.33459118601294,3268.0,5700.0,1805.0,17.125616438356165,23.258986301369866,2.710472547097907,480.79,51.019041095890415,2.194684931506849,0,-1.1936621473350513,17.33854794520548,477.38,-1.2046980778801832,0.0,2.225356419822028,27.72794323418278,85.34954914085557
KATHMANDU,889.0,,1000.0,2800.0,5700.0,2400.0,2004,10900.0,-468.0,0.0,442.0,3112.0,270.19992598074526,5700.0,0.0,2054.3333333333335,308.97626661821994,3268.0,5700.0,1958.0,16.37073770491803,21.689371584699455,2.8849086763645406,1241.68,61.68221311475409,2.0179508196721314,0,1.2688390821327906,17.125616438356165,480.79,-1.1936621473350513,0.0,2.710472547097907,27.72794323418278,85.34954914085557
