District,YEAR,avg_temp,avg_max_temp,temp_range_stddev,annual_precip,avg_humidity,avg_wind,highheat_days,precip_zscore,avg_temp_lag1,annual_precip_lag1,precip_zscore_lag1,highheat_days_lag1,temp_range_stddev_lag1
Rasuwa,1987,6.387890410958904,12.628164383561643,2.8326407415476975,561.65,57.30747945205479,2.41427397260274,0,-0.40132844519393995,5.775589041095891,464.98,-0.7535387878646322,0.0,2.598767795300555
Rasuwa,1988,6.674890710382514,12.6922131147541,2.8082720490258644,653.23,59.68595628415301,2.3750546448087433,0,-0.06766315935777535,6.387890410958904,561.65,-0.40132844519393995,0.0,2.8326407415476975
Rasuwa,1989,6.048136986301371,12.268630136986301,2.7447928701534408,427.2,56.48205479452055,2.5596164383561644,0,-0.8911875594183591,6.674890710382514,653.23,-0.06766315935777535,0.0,2.8082720490258644
Rasuwa,1990,6.56772602739726,12.513342465753425,2.5695545778571214,578.92,59.83372602739726,2.420904109589041,0,-0.3384064154233508,6.048136986301371,427.2,-0.8911875594183591,0.0,2.7447928701534408
Rasuwa,1991,6.352767123287672,12.647068493150686,2.5985854206604517,352.45,55.26780821917808,2.488082191780822,0,-1.1635339245226755,6.56772602739726,578.92,-0.3384064154233508,0.0,2.5695545778571214
Rasuwa,1992,6.092021857923497,12.494562841530055,2.5557960561827824,383.31,55.999043715847,2.511639344262295,0,-1.0510976860327865,6.352767123287672,352.45,-1.1635339245226755,0.0,2.5985854206604517
Rasuwa,1993,6.462383561643835,12.768410958904111,2.507169305339389,418.86,56.011917808219174,2.4635068493150682,0,-0.9215737625617704,6.092021857923497,383.31,-1.0510976860327865,0.0,2.5557960561827824
Rasuwa,1994,6.492164383561644,12.927260273972601,2.5186232018818036,316.64,53.90191780821918,2.5176712328767126,0,-1.2940051396984023,6.462383561643835,418.86,-0.9215737625617704,0.0,2.507169305339389
Rasuwa,1995,6.293863013698631,12.513342465753425,2.577482533314995,441.07,56.32816438356164,2.5293972602739725,0,-0.8406531904016786,6.492164383561644,316.64,-1.2940051396984023,0.0,2.5186232018818036
Rasuwa,1996,6.343060109289618,12.48101092896175,2.7745818052773656,474.25,57.80560109289617,2.4029781420765026,0,-0.7197641951620636,6.293863013698631,441.07,-0.8406531904016786,0.0,2.577482533314995
Rasuwa,1997,5.7409041095890405,11.968246575342466,2.3504910143265683,335.25,56.090219178082194,2.4949863013698628,0,-1.2262009142189194,6.343060109289618,474.25,-0.7197641951620636,0.0,2.7745818052773656
Rasuwa,1998,7.093835616438356,13.37309589041096,2.7261999577330873,461.78000000000003,57.052958904109595,2.468164383561644,0,-0.7651977626918405,5.7409041095890405,335.25,-1.2262009142189194,0.0,2.3504910143265683
Rasuwa,1999,7.190958904109588,13.564438356164384,2.6742533491542817,348.97,52.278602739726026,2.509972602739726,0,-1.1762130596472642,7.093835616438356,461.78000000000003,-0.7651977626918405,0.0,2.7261999577330873
Rasuwa,2000,6.334426229508197,12.396994535519125,2.604418479083707,504.05,58.156939890710376,2.47672131147541,0,-0.6111899920836873,7.190958904109588,348.97,-1.1762130596472642,0.0,2.6742533491542817
Rasuwa,2001,6.82904109589041,12.97709589041096,2.3073515484526697,434.29,56.97079452054795,2.4573698630136986,0,-0.8653556433168258,6.334426229508197,504.05,-0.6111899920836873,0.0,2.604418479083707
Rasuwa,2002,6.588602739726028,12.873342465753423,2.144957568355062,367.58,57.94271232876712,2.491150684931507,0,-1.1084088341677818,6.82904109589041,434.29,-0.8653556433168258,0.0,2.3073515484526697
Rasuwa,2003,6.506246575342466,12.831041095890411,2.559358264639803,362.76,57.058904109589044,2.4803287671232876,0,-1.1259701650012641,6.588602739726028,367.58,-1.1084088341677818,0.0,2.144957568355062
Rasuwa,2004,6.168306010928961,11.850491803278688,2.6941535602009674,996.68,66.7303825136612,2.278579234972678,0,1.1836727482686786,6.506246575342466,362.76,-1.1259701650012641,0.0,2.559358264639803
Rasuwa,2005,5.80586301369863,11.614520547945206,2.543002419411595,831.32,65.70380821917809,2.3087397260273974,0,0.5811952240726956,6.168306010928961,996.68,1.1836727482686786,0.0,2.6941535602009674
Rasuwa,2006,6.663534246575343,12.368931506849314,2.4785916810480986,831.87,65.58487671232876,2.292849315068493,0,0.5831991103711219,5.80586301369863,831.32,0.5811952240726956,0.0,2.543002419411595
Rasuwa,2007,6.240986301369863,11.891068493150684,3.019610498781827,910.08,68.24558904109588,2.2555068493150685,0,0.8681517420073573,6.663534246575343,831.87,0.5831991103711219,0.0,2.4785916810480986
Rasuwa,2008,6.225081967213115,11.748579234972677,2.5635231198463884,960.38,67.42879781420764,2.3140983606557377,0,1.051416252572536,6.240986301369863,910.08,0.8681517420073573,0.0,3.019610498781827
Rasuwa,2009,6.82,12.812027397260275,2.462608485725366,648.55,60.23320547945205,2.3976986301369863,0,-0.08471441004256756,6.225081967213115,960.38,1.051416252572536,0.0,2.5635231198463884
Rasuwa,2010,6.991534246575342,12.854219178082191,2.914325078358854,798.71,62.27235616438356,2.431068493150685,0,0.46238298372417713,6.82,648.55,-0.08471441004256756,0.0,2.462608485725366
Rasuwa,2011,6.202684931506849,11.745205479452055,2.5815699380172332,826.08,68.13331506849315,2.3040000000000003,0,0.5621036527931422,6.991534246575342,798.71,0.46238298372417713,0.0,2.914325078358854
Rasuwa,2012,5.896939890710383,11.80051912568306,2.525993145104409,808.49,61.962049180327874,2.445382513661202,0,0.4980157255398321,6.202684931506849,826.08,0.5621036527931422,0.0,2.5815699380172332
Rasuwa,2013,6.087835616438356,11.684547945205479,2.8828785888937443,1181.72,69.29846575342465,2.3052328767123287,0,1.8578529676519926,5.896939890710383,808.49,0.4980157255398321,0.0,2.525993145104409
Rasuwa,2014,6.156739726027397,11.47627397260274,2.615715107405054,1199.21,70.3066301369863,2.3162465753424657,0,1.9215765519419525,6.087835616438356,1181.72,1.8578529676519926,0.0,2.8828785888937443
Rasuwa,2015,6.092575342465754,11.38104109589041,2.5385024563231573,1112.27,72.87523287671233,2.2258904109589044,0,1.6048167796052397,6.156739726027397,1199.21,1.9215765519419525,0.0,2.615715107405054
Rasuwa,2016,6.971202185792349,12.328688524590165,2.5731762259243736,1057.9,68.03814207650272,2.2733879781420763,0,1.406723510431706,6.092575342465754,1112.27,1.6048167796052397,0.0,2.5385024563231573
Rasuwa,2017,6.668410958904109,11.997342465753423,2.5044135203951527,1026.19,70.45493150684932,2.3246849315068494,0,1.2911903567533396,6.971202185792349,1057.9,1.406723510431706,0.0,2.5731762259243736
Rasuwa,2018,6.291561643835617,11.72849315068493,2.4755214456390298,938.74,69.27586301369863,2.3220547945205476,0,0.9725724353035405,6.668410958904109,1026.19,1.2911903567533396,0.0,2.5044135203951527
Rasuwa,2019,5.90827397260274,11.18131506849315,2.8883193620194456,1169.23,73.3814794520548,2.3173972602739727,0,1.8123465315295457,6.291561643835617,938.74,0.9725724353035405,0.0,2.4755214456390298
Routahat,1982,25.49821917808219,32.20619178082192,3.4609654427450383,951.79,49.78016438356164,2.688958904109589,71,-0.27792351092732814,24.89460273972603,1329.79,1.1920953607801117,55.0,4.12393188630952
Routahat,1983,26.206000000000003,33.13723287671233,3.6876373915880136,590.16,41.476465753424655,2.908219178082192,72,-1.6842804542489194,25.49821917808219,951.79,-0.27792351092732814,71.0,3.4609654427450383
Routahat,1984,25.1,31.891120218579236,4.712154828947256,1095.3600000000001,48.751721311475414,2.853633879781421,65,0.2804114346045168,26.206000000000003,590.16,-1.6842804542489194,72.0,3.6876373915880136
Routahat,1985,25.47819178082192,31.806273972602742,4.716494816322921,1269.14,51.9518904109589,2.7343561643835614,90,0.9562312217085349,25.1,1095.3600000000001,0.2804114346045168,65.0,4.712154828947256
Routahat,1986,25.293999999999997,32.035178082191784,3.9362329426387386,973.57,48.69221917808219,2.8798630136986305,73,-0.1932224235575182,25.47819178082192,1269.14,0.9562312217085349,90.0,4.716494816322921
Routahat,1987,25.522931506849318,31.925753424657533,4.3905891997543485,1260.1100000000001,51.20013698630137,2.626958904109589,80,0.9211141042177462,25.293999999999997,973.57,-0.1932224235575182,73.0,3.9362329426387386
Routahat,1988,25.670983606557378,32.341967213114756,4.208397346753372,1100.53,50.59770491803278,2.6473224043715846,68,0.30051724827310733,25.522931506849318,1260.1100000000001,0.9211141042177462,80.0,4.3905891997543485
Routahat,1989,25.70717808219178,32.73638356164384,4.290632808705719,719.46,43.35378082191781,3.0409041095890412,72,-1.1814406655934377,25.670983606557378,1100.53,0.30051724827310733,68.0,4.208397346753372
Routahat,1990,25.947835616438354,32.42950684931507,4.2230628944817,1044.72,47.680465753424656,2.7415616438356163,70,0.08347557306148792,25.70717808219178,719.46,-1.1814406655934377,72.0,4.290632808705719
Routahat,1991,26.441452054794517,33.493753424657534,3.8603426196064086,637.83,41.92493150684932,2.901616438356164,86,-1.498894740983592,25.947835616438354,1044.72,0.08347557306148792,70.0,4.2230628944817
Routahat,1992,26.34,33.4722131147541,3.637931006956856,625.46,40.50928961748634,3.0355191256830603,95,-1.5470009141132772,26.441452054794517,637.83,-1.498894740983592,86.0,3.8603426196064086
Routahat,1993,26.01145205479452,33.05,3.7636991325848834,742.69,43.147068493150684,2.834191780821918,75,-1.0911006169432689,26.34,625.46,-1.5470009141132772,95.0,3.637931006956856
Routahat,1994,26.397753424657534,33.513123287671235,3.864505171205607,691.41,41.98019178082192,2.919506849315068,89,-1.2905253993272836,26.01145205479452,742.69,-1.0911006169432689,75.0,3.7636991325848834
Routahat,1995,26.06717808219178,32.87547945205479,4.214663401201604,899.8,45.343452054794525,2.933780821917808,83,-0.4801094398693118,26.397753424657534,691.41,-1.2905253993272836,89.0,3.864505171205607
Routahat,1996,25.720901639344262,32.63013661202186,4.225416832247797,902.56,47.372513661202184,2.725710382513661,80,-0.4693759687425591,26.06717808219178,899.8,-0.4801094398693118,83.0,4.214663401201604
Routahat,1997,25.442356164383558,32.158109589041096,4.089001834593838,890.96,46.06602739726027,2.7625205479452055,67,-0.5144876589854326,25.720901639344262,902.56,-0.4693759687425591,80.0,4.225416832247797
Routahat,1998,25.78290410958904,32.34432876712329,4.080134694331772,878.85,50.64616438356164,2.8937534246575343,71,-0.5615827080234672,25.442356164383558,890.96,-0.5144876589854326,67.0,4.089001834593838
Routahat,1999,26.38153424657534,33.46205479452055,4.347294289511656,670.88,44.099260273972604,2.938082191780822,77,-1.3703653131795421,25.78290410958904,878.85,-0.5615827080234672,71.0,4.080134694331772
Routahat,2000,25.46068306010929,32.0974043715847,4.307712150533527,973.09,47.89969945355192,2.7908469945355194,56,-0.1950891141882579,26.38153424657534,670.88,-1.3703653131795421,77.0,4.347294289511656
Routahat,2001,25.642301369863016,32.20120547945206,3.9506665409419117,933.7,49.39410958904109,2.709972602739726,55,-0.34827441407332677,25.46068306010929,973.09,-0.1950891141882579,56.0,4.307712150533527
Routahat,2002,26.065397260273976,32.85315068493151,3.1364545125872336,720.5,47.816849315068495,2.801808219178082,63,-1.1773961692268353,25.642301369863016,933.7,-0.34827441407332677,55.0,3.9506665409419117
Routahat,2003,25.585260273972604,32.16975342465753,3.7120033681245004,798.34,49.868136986301366,2.773150684931507,69,-0.8746811719418958,26.065397260273976,720.5,-1.1773961692268353,63.0,3.1364545125872336
Routahat,2004,25.184562841530052,31.358825136612023,3.9330331825413305,1213.04,54.85174863387979,2.5996994535519127,44,0.738061754240843,25.585260273972604,798.34,-0.8746811719418958,69.0,3.7120033681245004
Routahat,2005,25.574931506849317,31.870246575342463,3.8419040644298996,1130.28,53.89682191780822,2.6736712328767123,63,0.4162131779908225,25.184562841530052,1213.04,0.738061754240843,44.0,3.9330331825413305
Routahat,2006,25.291890410958906,31.387342465753424,3.9136849554804702,1243.36,55.55104109589041,2.5413150684931507,41,0.8559743790825611,25.574931506849317,1130.28,0.4162131779908225,63.0,3.8419040644298996
Routahat,2007,24.620712328767123,30.517479452054793,3.7746069472864443,1495.52,60.343780821917804,2.487835616438356,45,1.8366091904311013,25.291890410958906,1243.36,0.8559743790825611,41.0,3.9136849554804702
